temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
36.0,clear-night,0.63,10.0,Clear,29.75,1016.61,7.94,,1451624400,278,0.0,24.54,0.0
35.73,partly-cloudy-night,0.62,10.0,Mostly Cloudy,29.39,1015.99,8.01,0.75,1451628000,281,0.0,24.15,0.0
35.35,clear-night,0.62,10.0,Clear,29.21,1015.83,7.52,,1451631600,276,0.0,23.8,0.0
35.19,clear-night,0.63,10.0,Clear,30.21,1015.82,5.76,,1451635200,268,0.0,23.93,0.0
35.33,clear-night,0.63,10.0,Clear,29.4,1015.6,7.18,,1451638800,266,0.0,24.11,0.0
35.04,clear-night,0.64,10.0,Clear,29.83,1015.36,6.02,0.0,1451642400,263,0.0,24.12,0.0
34.69,clear-night,0.65,10.0,Clear,29.11,1015.34,6.45,0.0,1451646000,260,0.0,24.24,0.0
34.72,partly-cloudy-night,0.65,10.0,Mostly Cloudy,29.82,1015.5,5.55,0.6,1451649600,258,0.0,24.17,0.0
34.75,partly-cloudy-day,0.66,10.0,Partly Cloudy,29.46,1015.42,6.05,0.31,1451653200,256,0.0,24.56,0.0
35.46,clear-day,0.64,10.0,Clear,30.36,1015.55,5.99,,1451656800,255,0.0,24.61,0.0
36.45,clear-day,0.62,10.0,Clear,31.29,1015.52,6.34,,1451660400,248,0.0,24.66,0.0
36.66,partly-cloudy-day,0.62,10.0,Partly Cloudy,30.58,1014.95,7.9,0.31,1451664000,245,0.0014,24.75,0.03
37.07,clear-day,0.58,10.0,Clear,29.98,1014.05,10.05,,1451667600,273,0.0,23.82,0.0
36.94,cloudy,0.58,10.0,Overcast,30.25,1013.27,9.17,1.0,1451671200,278,0.0,23.59,0.0
36.98,clear-day,0.58,10.0,Clear,31.33,1012.66,7.28,,1451674800,270,0.0,23.64,0.0
36.41,clear-day,0.6,9.24,Clear,30.83,1012.35,6.98,,1451678400,261,0.0,23.76,0.0
35.65,clear-day,0.62,9.85,Clear,29.34,1012.32,7.93,,1451682000,252,0.0,23.94,0.0
34.56,partly-cloudy-night,0.68,8.7,Partly Cloudy,28.32,1012.45,7.4,0.31,1451685600,248,0.0025,25.11,0.07
33.61,clear-night,0.71,8.9,Clear,27.37,1012.76,7.1,,1451689200,261,0.0025,25.17,0.07
32.77,partly-cloudy-night,0.72,8.21,Partly Cloudy,25.43,1013.35,8.61,0.54,1451692800,273,0.0,24.68,0.0
32.25,clear-night,0.69,9.9,Clear,25.0,1013.47,8.25,0.19,1451696400,276,0.0,23.09,0.0
31.3,clear-night,0.63,10.0,Clear,23.82,1013.6,8.28,0.17,1451700000,273,0.0,20.21,0.0
30.61,clear-night,0.61,10.0,Clear,22.93,1013.55,8.36,0.21,1451703600,268,0.0,18.76,0.0
30.04,clear-night,0.6,10.0,Clear,22.06,1013.74,8.65,0.17,1451707200,271,0.0,17.93,0.0
29.6,clear-night,0.61,10.0,Clear,22.02,1013.91,7.85,0.2,1451710800,277,0.0,17.66,0.0
29.38,clear-night,0.6,10.0,Clear,21.52,1013.97,8.21,0.23,1451714400,272,0.0,17.38,0.0
28.53,clear-night,0.63,10.0,Clear,20.56,1014.04,8.1,0.12,1451718000,269,0.0,17.58,0.0
29.15,clear-night,0.63,9.89,Clear,21.55,1014.13,7.74,0.22,1451721600,267,0.0,17.98,0.0
29.14,clear-night,0.64,10.0,Clear,22.27,1013.91,6.71,0.12,1451725200,253,0.0,18.41,0.0
