temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
28.96,partly-cloudy-night,0.66,10.0,Partly Cloudy,21.51,1014.08,7.46,0.31,1451728800,249,0.0,18.87,0.0
28.94,partly-cloudy-night,0.65,9.95,Partly Cloudy,22.04,1014.47,6.69,0.31,1451732400,251,0.0,18.81,0.0
28.71,partly-cloudy-night,0.65,10.0,Partly Cloudy,21.65,1014.91,6.84,0.28,1451736000,245,0.0,18.4,0.0
28.67,clear-day,0.64,10.0,Clear,20.64,1015.26,8.23,0.21,1451739600,253,0.0,17.89,0.0
30.68,clear-day,0.58,10.0,Clear,23.07,1015.7,8.26,0.13,1451743200,253,0.0,17.63,0.0
32.12,clear-day,0.54,10.0,Clear,23.92,1016.0,9.91,0.12,1451746800,264,0.0,17.5,0.0
33.41,partly-cloudy-day,0.51,10.0,Partly Cloudy,25.29,1015.61,10.38,0.28,1451750400,269,0.0,17.38,0.0
34.84,clear-day,0.49,10.0,Clear,26.99,1014.57,10.55,0.18,1451754000,277,0.0,17.46,0.0
35.26,partly-cloudy-day,0.48,10.0,Partly Cloudy,27.02,1014.1,11.68,0.31,1451757600,271,0.0,17.42,0.0
35.75,clear-day,0.47,10.0,Clear,28.39,1013.51,9.97,0.21,1451761200,277,0.0,17.46,0.0
34.72,clear-day,0.5,10.0,Clear,26.5,1013.55,11.31,0.22,1451764800,281,0.0,18.03,0.0
34.04,clear-day,0.52,10.0,Clear,26.9,1013.89,8.75,0.18,1451768400,276,0.0,18.27,0.0
33.21,clear-night,0.55,10.0,Clear,26.99,1013.93,6.94,0.09,1451772000,265,0.0,18.84,0.0
32.8,clear-night,0.57,10.0,Clear,26.77,1013.87,6.56,0.0,1451775600,250,0.0,19.31,0.0
32.65,partly-cloudy-night,0.58,10.0,Mostly Cloudy,26.61,1014.17,6.53,0.65,1451779200,247,0.0,19.35,0.0
32.49,partly-cloudy-night,0.59,10.0,Partly Cloudy,26.58,1014.05,6.3,0.31,1451782800,232,0.0,19.7,0.0
32.72,clear-night,0.58,10.0,Clear,26.34,1013.7,7.04,,1451786400,223,0.0,19.58,0.0
32.66,clear-night,0.59,10.0,Clear,26.48,1012.82,6.73,,1451790000,221,0.0,19.78,0.0
32.1,clear-night,0.6,10.0,Clear,25.66,1012.31,6.94,,1451793600,219,0.0,19.68,0.0
31.7,partly-cloudy-night,0.61,10.0,Partly Cloudy,25.63,1011.85,6.31,0.31,1451797200,219,0.0,19.92,0.0
31.09,partly-cloudy-night,0.63,10.0,Partly Cloudy,24.24,1011.42,7.23,0.33,1451800800,216,0.0,19.96,0.0
30.53,clear-night,0.64,10.0,Clear,23.53,1010.85,7.28,0.09,1451804400,206,0.0,19.69,0.0
29.71,clear-night,0.65,10.0,Clear,22.83,1010.27,6.87,0.16,1451808000,196,0.0,19.47,0.0
29.21,clear-night,0.66,10.0,Clear,22.51,1009.32,6.5,0.06,1451811600,203,0.0,19.24,0.0
28.66,clear-night,0.68,10.0,Clear,21.35,1008.98,7.16,0.04,1451815200,202,0.0,19.39,0.0
27.46,clear-night,0.72,10.0,Clear,19.96,1008.62,7.08,0.0,1451818800,200,0.0,19.54,0.0
27.24,clear-night,0.73,10.0,Clear,20.42,1008.43,6.17,0.04,1451822400,202,0.0,19.7,0.0
28.19,clear-day,0.73,10.0,Clear,21.03,1008.7,6.83,0.18,1451826000,211,0.0,20.7,0.0
30.95,clear-day,0.68,10.0,Clear,23.62,1008.99,7.93,0.11,1451829600,217,0.0,21.56,0.0
34.09,clear-day,0.61,10.0,Clear,26.93,1008.8,8.82,0.04,1451833200,216,0.0,22.22,0.0
36.67,clear-day,0.55,10.0,Clear,30.15,1008.29,8.7,0.08,1451836800,232,0.0,22.23,0.0
37.64,clear-day,0.54,10.0,Clear,30.89,1007.41,9.63,0.13,1451840400,242,0.0,22.48,0.0
39.0,partly-cloudy-day,0.51,10.0,Partly Cloudy,31.53,1006.86,12.17,0.29,1451844000,247,0.0,22.49,0.0
39.5,partly-cloudy-day,0.5,10.0,Partly Cloudy,32.36,1006.79,11.62,0.26,1451847600,252,0.0,22.62,0.0
39.16,partly-cloudy-day,0.51,10.0,Partly Cloudy,32.97,1007.13,9.18,0.25,1451851200,261,0.0,22.67,0.0
38.34,clear-day,0.53,10.0,Clear,32.5,1007.69,8.13,0.2,1451854800,254,0.0,22.9,0.0
37.15,clear-night,0.56,10.0,Clear,31.4,1008.19,7.5,0.22,1451858400,253,0.0,22.96,0.0
35.7,clear-night,0.6,10.0,Clear,30.8,1008.85,5.79,0.1,1451862000,258,0.0,23.02,0.0
34.02,clear-night,0.66,10.0,Clear,29.33,1009.39,5.14,0.18,1451865600,235,0.0,23.79,0.0
33.94,clear-night,0.65,10.0,Clear,28.56,1009.9,5.97,0.22,1451869200,252,0.0,23.53,0.0
32.7,clear-night,0.69,10.0,Clear,27.87,1010.07,5.02,0.21,1451872800,234,0.0,23.68,0.0
31.71,clear-night,0.72,9.79,Clear,26.35,1010.01,5.43,0.02,1451876400,244,0.0,23.62,0.0
30.35,clear-night,0.75,9.78,Clear,24.49,1010.09,5.72,0.08,1451880000,258,0.0,23.45,0.0
27.93,clear-night,0.81,9.6,Clear,23.68,1010.22,3.75,0.09,1451883600,294,0.0,22.94,0.0
27.73,clear-night,0.8,9.75,Clear,21.23,1010.28,5.9,0.11,1451887200,283,0.0,22.37,0.0
27.24,clear-night,0.8,9.92,Clear,20.45,1010.51,6.14,0.2,1451890800,298,0.0,21.96,0.0
28.39,clear-night,0.72,9.83,Clear,19.76,1011.5,9.1,0.19,1451894400,310,0.0,20.68,0.0
27.6,clear-night,0.68,9.75,Clear,17.16,1011.83,12.18,0.11,1451898000,314,0.0,18.48,0.0
27.55,clear-night,0.65,9.68,Clear,17.82,1012.32,10.72,,1451901600,321,0.0,17.23,0.0
25.63,partly-cloudy-night,0.64,9.79,Partly Cloudy,15.26,1013.31,11.04,0.31,1451905200,325,0.0,15.3,0.0
24.3,partly-cloudy-night,0.63,9.89,Partly Cloudy,13.58,1014.53,11.07,0.44,1451908800,330,0.0,13.64,0.0
22.48,clear-day,0.63,9.63,Clear,11.25,1015.48,11.19,0.08,1451912400,334,0.0,11.89,0.0
21.72,clear-day,0.61,9.27,Clear,9.41,1016.24,12.89,0.17,1451916000,346,0.0,10.26,0.0
21.16,clear-day,0.58,9.6,Clear,9.26,1017.28,11.8,0.0,1451919600,344,0.0,8.91,0.0
21.09,clear-day,0.56,9.73,Clear,8.95,1017.53,12.23,0.0,1451923200,347,0.0,7.72,0.0
21.45,clear-day,0.52,9.8,Clear,9.32,1017.27,12.37,0.21,1451926800,337,0.0,6.52,0.0
21.62,partly-cloudy-day,0.5,9.77,Partly Cloudy,10.5,1017.37,10.6,0.34,1451930400,347,0.0,5.98,0.0
21.32,clear-day,0.49,9.73,Clear,9.29,1017.62,12.1,0.14,1451934000,342,0.0,5.38,0.0
20.3,clear-day,0.48,9.83,Clear,7.74,1018.69,12.61,0.11,1451937600,345,0.0,3.64,0.0
18.16,clear-day,0.49,10.0,Clear,4.49,1019.92,13.69,0.03,1451941200,351,0.0,2.06,0.0
15.5,clear-night,0.52,10.0,Clear,0.62,1021.38,14.65,0.05,1451944800,355,0.0,0.96,0.0
13.51,clear-night,0.52,10.0,Clear,-1.33,1022.8,13.51,0.05,1451948400,347,0.0,-0.72,0.0
11.92,clear-night,0.54,10.0,Clear,-2.45,1024.41,11.98,0.13,1451952000,352,0.0,-1.54,0.0
10.72,clear-night,0.56,10.0,Clear,-4.74,1025.81,13.29,0.08,1451955600,352,0.0,-1.71,0.0
9.56,clear-night,0.56,10.0,Clear,-6.07,1026.85,13.03,0.15,1451959200,355,0.0,-2.87,0.0
8.65,clear-night,0.56,10.0,Clear,-7.12,1027.87,12.86,0.05,1451962800,356,0.0,-3.63,0.0
7.45,clear-night,0.58,10.0,Clear,-7.96,1028.74,11.79,0.07,1451966400,356,0.0,-4.27,0.0
6.57,clear-night,0.58,10.0,Clear,-8.64,1029.27,11.16,0.02,1451970000,357,0.0,-5.2,0.0
6.27,clear-night,0.58,10.0,Clear,-8.65,1029.82,10.65,0.0,1451973600,355,0.0,-5.34,0.0
5.71,clear-night,0.59,10.0,Clear,-8.7,1030.67,9.79,0.0,1451977200,354,0.0,-5.42,0.0
5.34,clear-night,0.6,10.0,Clear,-7.73,1031.53,8.12,0.02,1451980800,350,0.0,-5.47,0.0
5.09,clear-night,0.61,10.0,Clear,-6.88,1032.02,6.95,0.01,1451984400,343,0.0,-5.22,0.0
4.9,clear-night,0.63,10.0,Clear,-7.53,1032.68,7.36,0.0,1451988000,342,0.0,-5.03,0.0
4.77,clear-night,0.63,10.0,Clear,-8.08,1033.65,7.76,0.0,1451991600,334,0.0,-4.97,0.0
4.62,clear-night,0.64,10.0,Clear,-7.7,1034.49,7.19,0.0,1451995200,346,0.0,-4.9,0.0
5.08,clear-day,0.63,10.0,Clear,-6.2,1035.32,6.32,0.0,1451998800,347,0.0,-4.59,0.0
8.11,clear-day,0.58,10.0,Clear,-4.12,1036.02,7.85,0.02,1452002400,350,0.0,-3.73,0.0
11.26,clear-day,0.51,10.0,Clear,0.48,1036.34,7.02,0.0,1452006000,346,0.0,-3.25,0.0
14.72,clear-day,0.44,10.0,Clear,4.69,1036.24,6.98,0.0,1452009600,335,0.0,-3.14,0.0
17.97,clear-day,0.38,10.0,Clear,9.39,1035.45,6.14,0.0,1452013200,353,0.0,-3.2,0.0
20.37,clear-day,0.33,10.0,Clear,12.15,1034.85,6.23,0.0,1452016800,340,0.0,-4.13,0.0
22.42,clear-day,0.32,10.0,Clear,13.31,1034.35,7.82,0.0,1452020400,329,0.0,-2.82,0.0
23.66,clear-day,0.3,10.0,Clear,16.96,1034.48,5.31,0.0,1452024000,314,0.0,-3.49,0.0
23.17,clear-day,0.32,10.0,Clear,23.17,1035.22,2.76,0.0,1452027600,263,0.0,-2.2,0.0
19.78,clear-night,0.38,10.0,Clear,15.28,1035.83,3.12,0.0,1452031200,237,0.0,-1.62,0.0
17.09,clear-night,0.5,10.0,Clear,11.79,1036.07,3.39,0.0,1452034800,273,0.0,1.71,0.0
14.45,clear-night,0.6,10.0,Clear,8.58,1036.27,3.5,0.0,1452038400,264,0.0,3.05,0.0
13.45,clear-night,0.65,10.0,Clear,7.68,1036.17,3.36,0.0,1452042000,263,0.0,3.94,0.0
12.43,clear-night,0.67,9.92,Clear,6.83,1036.11,3.19,0.0,1452045600,248,0.0,3.51,0.0
11.54,clear-night,0.71,10.0,Clear,4.56,1036.19,3.92,0.0,1452049200,236,0.0,3.84,0.0
11.16,clear-night,0.71,10.0,Clear,11.16,1035.97,2.39,0.0,1452052800,237,0.0,3.64,0.0
10.5,clear-night,0.73,10.0,Clear,2.32,1035.56,4.63,0.0,1452056400,253,0.0,3.58,0.0
9.92,clear-night,0.75,9.91,Clear,9.92,1034.91,2.57,0.0,1452060000,243,0.0,3.67,0.0
9.68,clear-night,0.73,10.0,Clear,2.05,1034.74,4.16,0.0,1452063600,263,0.0,2.89,0.0
8.96,clear-night,0.77,9.88,Clear,8.96,1034.7,1.84,0.0,1452067200,269,0.0,3.29,0.0
8.94,clear-night,0.73,9.85,Clear,-1.85,1034.49,6.56,0.0,1452070800,254,0.0,2.06,0.0
7.97,clear-night,0.71,9.8,Clear,7.97,1034.21,1.05,0.0,1452074400,249,0.0,0.69,0.0
8.03,clear-night,0.72,9.89,Clear,8.03,1034.4,2.17,0.0,1452078000,231,0.0,0.89,0.0
7.23,clear-night,0.74,10.0,Clear,7.23,1034.47,1.25,0.0,1452081600,249,0.0,0.6,0.0
8.52,clear-day,0.71,9.56,Clear,1.86,1034.39,3.47,0.0,1452085200,228,0.0,1.12,0.0
14.09,clear-day,0.69,9.79,Clear,6.24,1034.21,4.84,0.02,1452088800,231,0.0,5.85,0.0
20.55,clear-day,0.58,9.89,Clear,13.9,1034.17,4.76,0.02,1452092400,233,0.0,8.24,0.0
27.31,clear-day,0.45,10.0,Clear,21.01,1033.44,5.58,0.02,1452096000,215,0.0,8.72,0.0
32.51,clear-day,0.33,10.0,Clear,27.29,1032.17,5.43,0.02,1452099600,215,0.0,6.83,0.0
36.2,clear-day,0.26,10.0,Clear,30.83,1031.03,6.59,0.03,1452103200,213,0.0,4.56,0.0
38.55,clear-day,0.23,10.0,Clear,33.46,1029.83,6.88,0.02,1452106800,218,0.0,3.64,0.0
39.67,clear-day,0.21,10.0,Clear,35.22,1029.29,6.23,0.03,1452110400,203,0.0,3.14,0.0
37.9,clear-day,0.23,10.0,Clear,33.03,1029.31,6.32,0.03,1452114000,196,0.0,3.85,0.0
31.84,clear-night,0.34,10.0,Clear,26.74,1029.29,5.16,0.0,1452117600,189,0.0,6.97,0.0
27.55,clear-night,0.45,9.95,Clear,22.7,1029.55,4.2,0.0,1452121200,200,0.0,8.91,0.0
25.09,clear-night,0.52,9.89,Clear,19.57,1029.65,4.43,0.0,1452124800,185,0.0,10.02,0.0
24.18,clear-night,0.53,10.0,Clear,18.97,1029.61,4.06,0.0,1452128400,198,0.0,9.67,0.0
22.58,clear-night,0.57,10.0,Clear,16.03,1029.47,4.98,0.0,1452132000,195,0.0,9.6,0.0
21.55,clear-night,0.6,10.0,Clear,15.86,1029.51,4.11,0.0,1452135600,198,0.0,9.81,0.0
20.55,clear-night,0.63,10.0,Clear,14.4,1029.13,4.35,0.0,1452139200,198,0.0,9.89,0.0
18.88,clear-night,0.67,9.96,Clear,18.88,1028.42,1.16,0.0,1452142800,181,0.0,9.85,0.0
17.33,clear-night,0.69,10.0,Clear,17.33,1027.86,2.91,0.0,1452146400,219,0.0,9.03,0.0
16.04,clear-night,0.73,10.0,Clear,16.04,1027.5,1.85,0.0,1452150000,226,0.0,8.99,0.0
15.34,clear-night,0.75,8.52,Clear,9.92,1027.3,3.31,0.0,1452153600,229,0.0,8.86,0.0
14.2,clear-night,0.76,10.0,Clear,9.08,1027.21,3.06,0.0,1452157200,211,0.0,8.12,0.0
13.15,clear-night,0.77,10.0,Clear,13.15,1027.5,1.25,0.02,1452160800,274,0.0,7.25,0.0
12.91,clear-night,0.78,10.0,Clear,12.91,1027.98,0.58,0.02,1452164400,310,0.0,7.49,0.0
11.86,clear-night,0.79,9.9,Clear,11.86,1028.2,1.21,0.02,1452168000,315,0.0,6.73,0.0
13.62,clear-day,0.78,9.79,Clear,13.62,1028.03,2.45,0.01,1452171600,330,0.0,8.07,0.0
19.51,clear-day,0.71,9.95,Clear,13.31,1028.24,4.25,0.0,1452175200,329,0.0,11.81,0.0
24.66,clear-day,0.61,9.95,Clear,24.66,1028.18,2.24,0.06,1452178800,1,0.0,13.08,0.0
29.53,clear-day,0.51,9.83,Clear,24.69,1027.41,4.48,0.0,1452182400,10,0.0,13.45,0.0
34.11,clear-day,0.38,9.95,Clear,30.42,1026.05,4.1,0.0,1452186000,25,0.0,11.44,0.0
37.45,clear-day,0.31,10.0,Clear,37.45,1024.9,1.36,0.05,1452189600,16,0.0,9.68,0.0
39.57,clear-day,0.28,10.0,Clear,39.57,1024.04,1.82,0.0,1452193200,37,0.0,9.41,0.0
40.98,clear-day,0.25,10.0,Clear,40.98,1024.16,1.15,0.02,1452196800,229,0.0,8.25,0.0
38.08,clear-day,0.33,10.0,Clear,38.08,1024.3,1.15,0.0,1452200400,155,0.0,11.89,0.0
30.65,clear-night,0.48,10.0,Clear,30.65,1024.75,0.74,0.02,1452204000,96,0.0,13.37,0.0
26.52,clear-night,0.58,10.0,Clear,26.52,1025.18,2.49,0.0,1452207600,27,0.0,13.7,0.0
24.1,clear-night,0.63,10.0,Clear,24.1,1025.6,2.93,0.0,1452211200,41,0.0,13.38,0.0
22.75,clear-night,0.68,10.0,Clear,17.43,1025.77,3.97,0.0,1452214800,7,0.0,13.66,0.0
21.3,clear-night,0.71,9.92,Clear,17.03,1025.25,3.11,0.0,1452218400,357,0.0,13.36,0.0
20.36,clear-night,0.75,9.95,Clear,15.29,1024.91,3.54,0.0,1452222000,6,0.0,13.58,0.0
19.18,clear-night,0.78,9.81,Clear,12.92,1024.79,4.26,0.0,1452225600,7,0.0,13.33,0.0
18.49,clear-night,0.78,9.86,Clear,13.94,1024.47,3.05,0.0,1452229200,12,0.0,12.85,0.0
17.75,clear-night,0.8,9.9,Clear,11.99,1024.31,3.74,0.0,1452232800,11,0.0,12.67,0.0
17.17,clear-night,0.81,9.52,Clear,10.45,1024.4,4.37,0.0,1452236400,11,0.0,12.47,0.0
17.5,clear-night,0.81,9.81,Clear,11.4,1024.32,3.94,0.02,1452240000,11,0.0,12.66,0.0
17.66,clear-night,0.81,9.8,Clear,10.56,1024.2,4.73,0.02,1452243600,15,0.0,12.72,0.0
17.31,clear-night,0.8,9.76,Clear,9.74,1024.48,5.07,0.05,1452247200,19,0.0,12.34,0.0
17.53,clear-night,0.8,9.91,Clear,9.42,1025.23,5.59,0.1,1452250800,14,0.0,12.54,0.0
17.64,clear-night,0.82,9.64,Clear,9.79,1025.29,5.37,0.05,1452254400,23,0.0,12.99,0.0
19.82,clear-day,0.8,9.6,Clear,13.91,1025.21,4.08,0.16,1452258000,17,0.0,14.62,0.0
25.36,clear-day,0.75,9.8,Clear,21.13,1025.7,3.46,0.09,1452261600,21,0.0,18.59,0.0
30.73,clear-day,0.68,10.0,Clear,25.26,1025.98,5.35,0.07,1452265200,39,0.0,21.42,0.0
34.31,clear-day,0.62,9.95,Clear,29.78,1025.58,5.01,0.13,1452268800,27,0.0,22.74,0.0
35.52,clear-day,0.62,10.0,Clear,31.15,1025.16,5.07,0.0,1452272400,31,0.0,23.82,0.0
37.0,partly-cloudy-day,0.61,10.0,Partly Cloudy,32.73,1024.8,5.28,0.32,1452276000,36,0.0,24.99,0.0
37.22,partly-cloudy-day,0.64,10.0,Partly Cloudy,32.57,1024.28,5.82,0.31,1452279600,49,0.0,26.23,0.0
36.9,clear-day,0.65,10.0,Clear,32.52,1024.33,5.39,0.0,1452283200,49,0.0,26.36,0.0
36.09,partly-cloudy-day,0.69,10.0,Partly Cloudy,32.51,1024.13,4.29,0.31,1452286800,45,0.0,26.78,0.0
35.28,clear-night,0.72,10.0,Clear,30.96,1024.07,4.96,,1452290400,55,0.0,27.25,0.0
34.74,partly-cloudy-night,0.75,10.0,Partly Cloudy,30.91,1024.4,4.33,0.31,1452294000,39,0.0,27.73,0.0
34.76,partly-cloudy-night,0.76,9.84,Mostly Cloudy,30.23,1024.44,5.1,0.72,1452297600,54,0.0,28.11,0.0
34.55,clear-night,0.79,10.0,Clear,30.14,1024.51,4.93,0.0,1452301200,42,0.0,28.57,0.0
34.88,partly-cloudy-night,0.78,10.0,Partly Cloudy,34.88,1024.66,2.41,0.31,1452304800,31,0.0,28.78,0.0
34.98,clear-night,0.78,10.0,Clear,34.98,1024.54,2.78,,1452308400,48,0.0,28.71,0.0
34.42,clear-night,0.79,9.6,Clear,34.42,1025.02,2.64,,1452312000,53,0.0,28.57,0.0
34.5,partly-cloudy-night,0.79,8.63,Partly Cloudy,30.37,1024.8,4.6,0.31,1452315600,54,0.0,28.75,0.0
34.42,cloudy,0.82,8.2,Overcast,30.56,1024.22,4.31,1.0,1452319200,57,0.0011,29.6,0.02
34.08,clear-night,0.84,8.54,Clear,30.81,1024.16,3.7,,1452322800,41,0.0,29.84,0.0
34.04,partly-cloudy-night,0.85,8.14,Partly Cloudy,30.86,1024.1,3.62,0.31,1452326400,59,0.0,30.08,0.0
34.07,clear-night,0.87,8.02,Clear,30.27,1023.71,4.19,,1452330000,54,0.0,30.56,0.0
34.12,clear-night,0.86,8.07,Clear,30.84,1023.53,3.71,,1452333600,59,0.0,30.44,0.0
34.25,clear-night,0.87,7.82,Clear,34.25,1023.72,2.55,,1452337200,51,0.0,30.73,0.0
34.03,partly-cloudy-night,0.88,7.18,Mostly Cloudy,34.03,1023.67,2.25,0.75,1452340800,41,0.0,30.87,0.0
34.53,clear-day,0.88,7.33,Clear,32.11,1023.72,3.05,,1452344400,32,0.0,31.3,0.0
35.59,clear-day,0.85,8.21,Clear,33.04,1024.05,3.28,,1452348000,49,0.001,31.61,0.01
37.14,clear-day,0.82,8.94,Clear,37.14,1024.9,2.85,,1452351600,71,0.0,32.1,0.0
38.61,clear-day,0.79,9.09,Clear,35.51,1024.7,4.21,,1452355200,71,0.0,32.64,0.0
39.77,clear-day,0.76,8.99,Clear,37.02,1023.37,4.04,,1452358800,110,0.0,32.98,0.0
40.74,cloudy,0.73,9.28,Overcast,37.64,1022.79,4.63,1.0,1452362400,115,0.0,32.93,0.0
41.15,clear-day,0.72,9.23,Clear,37.8,1022.61,5.03,,1452366000,124,0.0,32.91,0.0
41.22,partly-cloudy-day,0.73,9.21,Partly Cloudy,38.04,1022.04,4.82,0.31,1452369600,95,0.0,33.15,0.0
40.52,clear-day,0.75,8.85,Clear,38.34,1022.17,3.56,0.2,1452373200,80,0.0,33.08,0.0
38.8,clear-night,0.79,8.29,Clear,35.99,1022.49,3.94,0.0,1452376800,70,0.0,32.84,0.0
38.22,clear-night,0.81,8.0,Clear,35.14,1022.91,4.12,,1452380400,79,0.0,32.88,0.0
37.4,cloudy,0.84,7.92,Overcast,34.22,1023.46,4.1,1.0,1452384000,80,0.0,33.1,0.0
36.99,partly-cloudy-night,0.85,7.72,Partly Cloudy,34.51,1023.25,3.38,0.31,1452387600,69,0.0,32.89,0.0
36.53,clear-night,0.86,7.7,Clear,33.11,1023.08,4.2,,1452391200,46,0.0,32.79,0.0
36.13,clear-night,0.88,7.4,Clear,31.76,1022.82,5.2,,1452394800,47,0.0,32.79,0.0
36.04,clear-night,0.89,7.13,Clear,32.91,1022.07,3.85,,1452398400,36,0.0,33.24,0.0
36.33,clear-night,0.89,7.02,Clear,33.28,1021.28,3.81,,1452402000,43,0.0,33.51,0.0
36.33,cloudy,0.9,7.23,Overcast,32.54,1020.31,4.57,1.0,1452405600,47,0.0,33.59,0.0
36.84,clear-night,0.9,6.56,Clear,32.11,1019.37,5.85,,1452409200,53,0.0,34.14,0.0
36.77,clear-night,0.9,7.25,Clear,36.77,1018.76,2.97,,1452412800,55,0.0,34.11,0.0
37.19,clear-night,0.9,6.35,Clear,32.17,1017.98,6.34,,1452416400,41,0.0,34.45,0.0
37.97,clear-night,0.9,7.5,Clear,32.96,1015.8,6.57,,1452420000,41,0.0,35.23,0.0
39.19,partly-cloudy-night,0.89,7.52,Partly Cloudy,34.66,1014.47,6.19,0.31,1452423600,59,0.0015,36.34,0.03
39.93,rain,0.91,6.09,Drizzle,35.33,1012.83,6.55,1.0,1452427200,66,0.0089,37.42,0.47
41.24,rain,0.91,5.1,Light Rain,36.99,1010.9,6.39,,1452430800,72,0.0515,38.75,0.73
43.89,rain,0.88,4.93,Rain,38.94,1008.98,8.84,,1452434400,90,0.0556,40.7,0.74
46.86,rain,0.89,3.73,Rain,42.65,1006.27,8.69,,1452438000,100,0.0769,43.71,0.77
48.61,rain,0.91,2.9,Rain,46.53,1003.34,5.09,,1452441600,86,0.1597,46.13,0.84
49.78,rain,0.91,3.86,Rain,48.84,1000.28,3.7,,1452445200,135,0.0902,47.28,0.79
50.75,rain,0.9,4.51,Rain,50.75,997.49,5.44,1.0,1452448800,137,0.0617,48.04,0.75
53.24,rain,0.9,5.41,Light Rain,53.24,995.02,7.64,,1452452400,149,0.0332,50.38,0.67
53.49,rain,0.91,5.37,Light Rain,53.49,993.67,7.54,,1452456000,150,0.0292,51.01,0.66
55.08,rain,0.9,6.04,Drizzle,55.08,992.18,10.22,0.31,1452459600,161,0.0079,52.33,0.4
54.3,rain,0.88,6.56,Light Rain,54.3,991.19,10.24,0.31,1452463200,187,0.0126,50.87,0.54
51.97,rain,0.85,8.54,Light Rain,51.97,991.77,11.87,0.31,1452466800,204,0.049,47.51,0.72
49.83,rain,0.86,9.84,Light Rain,47.05,992.27,6.85,0.27,1452470400,204,0.0241,45.76,0.63
48.15,clear-night,0.84,9.43,Clear,44.27,992.56,8.6,0.1,1452474000,203,0.0011,43.64,0.02
47.07,clear-night,0.83,9.28,Clear,43.17,993.09,8.06,0.2,1452477600,212,0.0,42.24,0.0
