random forest,10500log2{'activity_auc': 0.8585678212685048, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9280120895727435, 'Washing Machine': 0.9315060007742935, 'Dishwasher': 0.9279459635416667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,101000auto{'activity_auc': 0.858902469191387, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9274778281509976, 'Washing Machine': 0.9315834301200154, 'Dishwasher': 0.9263997395833333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,101000sqrt{'activity_auc': 0.8588957104653258, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9276152096594465, 'Washing Machine': 0.9319705768486256, 'Dishwasher': 0.9286295572916666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,101000log2{'activity_auc': 0.8588026740015827, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9288516432354872, 'Washing Machine': 0.9332094463801781, 'Dishwasher': 0.9278808593750001}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20100auto{'activity_auc': 0.8529848405933663, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9307902489658225, 'Washing Machine': 0.9315060007742935, 'Dishwasher': 0.9280598958333334}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20100sqrt{'activity_auc': 0.8529952516310106, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9314313626719177, 'Washing Machine': 0.9299883855981417, 'Dishwasher': 0.929296875}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20100log2{'activity_auc': 0.8529397130993572, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9315229503442168, 'Washing Machine': 0.9351761517615176, 'Dishwasher': 0.928662109375}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20500auto{'activity_auc': 0.8536727359333494, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9314924211201173, 'Washing Machine': 0.9345257452574526, 'Dishwasher': 0.9307291666666667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20500sqrt{'activity_auc': 0.854414207174918, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9318740364213643, 'Washing Machine': 0.9337824235385211, 'Dishwasher': 0.9293619791666666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,20500log2{'activity_auc': 0.8538818535171944, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9299659599151288, 'Washing Machine': 0.9339992257065428, 'Dishwasher': 0.930029296875}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
